2021-11-14 19:05:18.634  INFO 29708 --- [main] t.e.spring.services.UserServiceImpl      : Out of Method retrieve all users with success
2021-11-14 19:05:18.644  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Into Method Add Department! 
2021-11-14 19:05:18.652  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Department added! 
2021-11-14 19:05:18.656  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Into Method Update Department! 
2021-11-14 19:05:18.660  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Department Updated! 
2021-11-14 19:05:18.665  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Searching department ...
2021-11-14 19:05:18.695  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Department tn.esprit.spring.entities.Departement@40ecead5 found
2021-11-14 19:05:18.700  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : In method Retrrieve Departements!
2021-11-14 19:05:18.739  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Connexion a la base de donnée effectuée! 
2021-11-14 19:05:18.739  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@45430a27
2021-11-14 19:05:18.739  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@1b83fac3
2021-11-14 19:05:18.739  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@1500edf3
2021-11-14 19:05:18.740  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@759c53e5
2021-11-14 19:05:18.740  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@28d37d43
2021-11-14 19:05:18.740  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@2c02cf78
2021-11-14 19:05:18.740  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@3e7fc07e
2021-11-14 19:05:18.740  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@29ebaf2f
